Номер кластера;Номер узла;Расстояние до узла;accountNumber;airline;auto;entertainment;fastfood;food;furniture;health;hotels;online_gifts;online_retail;personal care;rideshare;subscriptions;transactionAmount|Сумма;transactionAmount|Среднее;merchantCategoryCode|Кол-во уникальных;creditLimit|Среднее;currentBalance|Среднее;transactionDateTime|Количество
87;87;0,2552802493364301;101537721;0;0;0;0,6120590369546838;0,09300916710493906;0;0,048039091677706695;0;0,2050315888982831;0;0;0;0;1502,11;57,77346153846153;5;10000;80,2969230769231;26
48;48;0,21573133451126494;101596991;0;0;0;0,15156993083385462;0,19358439855981183;0,5956429219179763;0;0;0;0,012636065161632095;0,04544134944316914;0;0;3341,2299999999996;139,21791666666664;6;5000;1445,8487499999999;24
152;152;0,26078167269712593;101661970;0,20130676414127618;0;0;0,01184436605667552;0;0;0;0;0,5816737273771544;0,09310258660266507;0;0,006109596948688297;0;10324,739999999998;130,69291139240505;6;500;176,02075949367082;79
303;303;0,14241899939034153;101738384;0,006206797344392263;0;0;0,09948432675894256;0;0;0,016788083449448793;0,004506277382436734;0;0,8720629565414739;0;0;0;44768,65999999998;163,9877655677655;6;50000;23022,152307692315;273
230;230;0,1165412203342042;101876201;0;0;0;0;0;0;0;0;0,06275771156297118;0,9106287537381196;0;0;0;28811,279999999995;111,67162790697672;5;250;114,44081395348839;258
69;69;0,1676353629961567;102038975;0;0;0;0,6203276602513125;0;0;0;0;0;0;0;0;0;377,21999999999986;29,016923076923067;2;5000;111,19999999999999;13
30;30;0,21466642232846422;102204865;0;0,210786243783913;0;0,31102973803648654;0,22689447142237193;0;0,05065528240686769;0,14098999257914507;0;0;0;0;0,044847668680432856;36801,690000000024;143,7566015625001;8;2500;1040,8048437500006;256
214;214;0,17572747457018315;102755773;0;0;0,0013865032638133783;0,36959234160435084;0,008219884251674347;0;0;0;0,005039205414667439;0,6148801088610292;0;0,0004989811670698172;0;57497,15999999998;156,2422826086956;7;2500;1208,2029619565226;368
77;77;0,328475529435704;102980467;0;0;0;0;0;0;0;0;0,006279293164176239;0;0;0,048246448603557174;0,9439876472167437;17395,27;155,31491071428573;4;50000;710,4125000000001;112
71;71;0,12909465375366325;103111023;0;0;0;0,9606726919357939;0;0;0;0;0;0;0;0,03229616852954685;0;11386,490000000002;144,1327848101266;4;20000;492,6386075949367;79
108;108;0,20212728158658408;103167689;0;0;0;0,09946865108087645;0;0;0,4886208610320778;0;0;0;0;0;0;2998,0299999999997;96,71064516129032;3;250;51,230967741935494;31
321;321;0,2698442645979988;103449775;0;0;0;0;0;0,14722207066222892;0;0;0,09306224486252952;0,7314874979539397;0;0;0;2016,070000000001;106,10894736842111;4;50000;1262,3915789473683;19
86;86;0,14733358808479574;103479817;0;0;0;0,4179040652693769;0;0;0;0;0;0;0;0;0;1777,2499999999998;52,272058823529406;4;250;115,4964705882353;34
111;111;0,06752365883925227;103522202;0;0;0;0;0;0;0;0,034293456677646175;0;0,04894838071654947;0;0;0;1284,21;47,56333333333333;3;2500;32,60481481481481;27
51;51;0,20242832222502433;103617392;0;0;0,2662525546596546;0,680695493513289;0;0;0;0;0;0;0;0;0;2236,109999999999;86,00423076923074;4;500;94,74884615384616;26
276;276;0,11538291934727088;103983479;0;0;0,7291830255509295;0;0;0;0;0;0;0,10536157135674701;0;0;0;7080,76;107,28424242424242;4;10000;322,0819696969696;66
133;133;0,1807713793076776;104048186;0;0;0;0,2141889267682216;0;0;0;0;0,7858110732317783;0;0;0;0;1158,65;144,83125;2;7500;380,4175;8
292;292;0,18330839692801362;104068835;0;0;0,858899482351637;0,04022072336111025;0,013132554814486242;0;0;0,0011753033807547295;0;0,05315722925445966;0;0;0,01515468061848485;40398,07999999997;142,74939929328613;8;5000;2920,889151943463;283
313;313;0,1616151020489218;104096207;0;0;0,49245856682961725;0;0,010559496840348159;0;0;0;0;0,2360498390366043;0;0;0;1341,9199999999998;83,86999999999999;4;2500;490,22125;16
110;110;0,0917802537346871;104372944;0;0;0;0;0;0;0;0;0;0;0;0;0;533,54;53,354;1;2500;183,333;10
8;8;0,17003968489130647;104470697;0;0;0;0,1333585046443316;0,050196538495250034;0;0;0,8164449568604183;0;0;0;0;0;4449,51;134,83363636363637;3;5000;1964,0742424242426;33
4;4;0,2929794286501535;104557150;0;0;0;0,08768053202169304;0,8841673616164621;0;0,028152106361844863;0;0;0;0;0;0;3765,26;171,14818181818183;3;50000;210,2109090909091;22
222;222;0,2165266985768504;104656033;0;0;0,44848736282955465;0,3481871944424107;0;0;0;0;0;0;0;0;0;3687,930000000001;102,44250000000004;4;20000;2012,2097222222214;36
239;239;0,2218808359986969;104681577;0;0;0,8058464650419234;0;0;0;0;0;0;0;0;0;0;306,5100000000001;23,577692307692317;2;15000;0,8323076923076923;13
255;255;0,17453473102794478;104852420;0;0;0,8225875945521308;0,16982480438724487;0;0;0;0;0;0;0;0;0;7682,270000000002;139,6776363636364;4;5000;2464,17;55
263;263;0,1076345708025824;105349833;0;0;0;0;0;0;0;0;0;0,847632990329256;0;0;0;710,3899999999998;41,78764705882352;3;15000;52,214117647058806;17
233;233;0,17649883971218522;105418907;0;0;0;0,11948222386223058;0;0;0;0;0,12897792682936912;0,47565620761953736;0;0;0;12100,209999999994;80,1338410596026;7;2500;428,99397350993394;151
20;20;0,28896309336791354;105499749;0;0;0;0;0,6640592344897593;0;0,2084381850907199;0;0;0,12750258041952078;0;0;0;1172,29;167,47;3;2500;567,9171428571428;7
273;273;0,2102351592388903;105518929;0,009750413667039182;0,13553551472308129;0,6740823522277377;0;0,18063171938214168;0;0;0;0;0;0;0;0;2308,6200000000003;209,87454545454548;4;500;188,26818181818183;11
113;113;0,19767585728375023;105581634;0;0;0;0,14121361739272753;0;0;0;0;0,4039867426825608;0;0;0;0;1466,3600000000004;77,17684210526318;3;7500;614,97;19
270;270;0,1778847656107714;105730883;0;0;0,03882954204685106;0;0,5059121048254915;0;0;0;0;0,4370456741524287;0;0,0025292665269615907;0;56122,98999999996;146,15361979166656;5;500;251,6623177083333;384
27;27;0,15633705800790126;106159813;0;0;0,004351916304717345;0,4319508804887468;0;0;0;0,4387893875346822;0;0,12465820215023171;0;0;0;137252,18000000005;140,3396523517383;5;7500;4511,175378323102;978
4;4;0,22833248254479968;106163075;0;0;0;0;0,727077964882843;0;0;0;0;0,005863846107748548;0,09155330496793913;0,1674866662671541;0;3337,3999999999996;104,29374999999999;5;50000;107,75187500000003;32
196;196;0,11379104216911913;106358199;0;0;0;0,3722542644374654;0,11088348225305722;0;0;0;0,0033297477283660993;0,4930585210370506;0;0;0,020473984544060596;5549,97;135,36512195121952;5;2500;1155,5768292682926;41
126;126;0,3147675113227145;106900554;0;0;0,26237039195833456;0;0;0;0,3922183670956995;0;0,010096048760511223;0,17068816939554352;0;0,05709537292696225;0;7960,539999999999;130,5006557377049;6;7500;3966,3599999999997;61
197;197;0,1345699124967861;106905774;0,07622096100052922;0;0,025325760603082375;0,45915842252486744;0,1469318022269983;0;0;0;0,0038981920489032412;0,27637472864533275;0;0;0;14814,56;127,71172413793103;7;5000;2920,726724137932;116
38;38;0,15838028752300326;107124479;0;0;0;0,032840090140042334;0,592757477449867;0;0;0;0;0,2653109367722577;0;0;0;14879,07000000001;121,95959016393451;6;5000;2656,964098360657;122
179;179;0,1531972797886781;107174510;0;0;0;0,46697042163363384;0;0;0;0;0;0,3139093203860042;0;0;0;3311,8800000000015;114,2027586206897;3;2500;1481,1306896551725;29
229;229;0,2186365770507668;107245062;0;0;0;0,0054701192216359;0;0;0,3449343808616952;0;0;0,6474416338385206;0,0003534930527468959;0;0;18840,539999999994;131,75202797202792;6;10000;4889,498461538464;143
198;198;0,27812903082668844;107682678;0;0;0,16121153648187353;0,04978468469890049;0;0;0;0;0;0,09705726988764238;0;0,6919465089315836;0;66541,94999999997;146,56817180616733;4;15000;9136,531629955947;454
215;215;0,1889039646398239;108011952;0;0;0,11649787415562028;0,30428713618821995;0;0;0;0;0;0,4045933458968101;0;0;0;4993,309999999998;83,2218333333333;6;5000;2913,666333333334;60
310;310;0,21879977206430487;108300020;0;0;0,700270804362146;0;0;0;0;0;0;0,011143965454146232;0;0,04717119227109712;0,07305277025543437;6831,500000000001;92,31756756756758;7;20000;2892,793648648648;74
244;244;0,07599785834318178;108412787;0;0;0;0;0;0;0;0;0;0,4718914527805198;0;0;0;1944,9600000000005;81,04000000000002;3;5000;129,53624999999997;24
167;167;0,23287943105544437;109267588;0;0;0;0;0,6578826503739597;0;0;0;0,2542842094174655;0,018379858843358264;0;0;0;2373,25;84,75892857142857;5;20000;1078,114642857143;28
306;306;0,14482900734324627;109297565;0;0;0;0;0,35811450552581753;0;0;0;0;0,6335326562595399;0;0;0;12283,250000000004;144,5088235294118;3;20000;5188,879411764706;85
181;181;0,1489725371141578;109363780;0;0;0;0;0;0;0;0;0;0;0;0,9871269393083766;0;988,11;123,51375;2;15000;493,375;8
322;322;0,2105077247105901;109585094;0;0;0;0,28463602956356576;0;0;0;0;0;0,5133325075354059;0;0;0;1210,9500000000003;71,23235294117649;4;50000;1113,0529411764708;17
26;26;0,2622608344106857;109615385;0;0;0;0;0,07331057458972562;0;0;0,5719738411549374;0;0;0;0;0;1215,6500000000005;81,04333333333336;3;1000;22,209333333333333;15
116;116;0,18268466782129691;110169390;0;0;0;0,09324963609898107;0;0;0;0;0,815931066749844;0,09081929715117487;0;0;0;769,44;153,888;3;15000;0;5
229;229;0,2825660118680976;110292358;0;0;0,05522358903452928;0;0;0;0,22978333123208444;0;0;0,4865397697123689;0;0,12071605016950838;0;7217,930000000002;136,18735849056608;5;15000;289,8449056603774;53
289;289;0,14562308447751843;110360082;0;0;0;0;0,44109197382018583;0;0,0704116431277988;0;0;0,2148863244919048;0;0;0;5806,000000000003;103,67857142857147;5;7500;2188,538214285714;56
236;236;0,16664830130385447;110426460;0;0;0,5545215603139514;0,0719986018366782;0;0;0;0;0,07627026315431094;0,012197613135472043;0;0;0;4405,779999999999;67,78123076923075;6;5000;2279,6780000000003;65
173;173;0,2648000295846071;110443122;0,514569555676343;0;0;0,2321729194875349;0,009087857807972749;0;0;0;0;0,14008832382937444;0;0,030495771009945008;0;11351,410000000005;143,68873417721525;6;10000;4771,463924050632;79
5;5;0,17227540379519346;110584457;0;0;0,800968334014257;0;0;0;0,11384266401614707;0;0;0;0;0,08196203496490706;0;8199,649999999998;134,42049180327865;4;50000;4097,857213114754;61
299;299;0,09610298134041749;110625245;0;0;0;0;0;0;0;0;0;1;0;0;0;284,11;94,70333333333333;1;500;0;3
275;275;0,141892910008274;111113489;0;0;0,974459652657444;0;0,008514208424808368;0;0;0;0,0012814242891669805;0,014342735175876505;0;0;0;57069,309999999954;159,85801120448167;5;15000;2306,8245658263327;357
316;316;0,08981463418224622;111203726;0;0;0;0;0;0;0;0;0;0,9190039953186164;0;0,04459421284151903;0,0364017918398644;4708,009999999999;138,47088235294115;3;5000;1955,9664705882353;34
0;0;0,06809085913478513;111350183;0;0;0;0;1;0;0;0;0;0;0;0;0;5273,789999999999;175,79299999999998;1;2500;1370,3766666666666;30
79;79;0,2301790568780929;111524654;0;0;0;0;0,11253808067653077;0;0;0;0,3606275924980349;0,32163804759200065;0;0;0,1772317236657659;20916,120000000006;137,606052631579;6;500;241,97125000000003;152
296;296;0,12578942116304082;111810473;0;0;0,17136409045970052;0;0,04762126600100419;0;0;0;0;0,7364887598283564;0;0;0;1931,9099999999999;74,30423076923077;4;2500;624,7650000000001;26
192;192;0,2369035396888088;112053255;0;0;0,0029800431241474175;0,006331252379576679;0,004820950606206127;0;0;0;0,0049697997042150305;0,5720083340189068;0;0,37851789919969675;0;26133,850000000002;129,37549504950496;8;10000;1143,8115346534648;202
106;106;0,22555665300903444;112078688;0;0;0,11259048552954491;0,7589046173745363;0,12850489709591892;0;0;0;0;0;0;0;0;15215,14;179,00164705882352;3;7500;4575,777999999999;85
167;167;0,20692341321606214;112092987;0;0;0,015392632225345348;0,20770367730100092;0,35194809974797625;0;0;0;0,30614407395282256;0;0;0;0;5162,21;112,22195652173913;5;15000;340,0232608695652;46
92;92;0,03757758296624541;112169253;0;0;0;0;0;0;0;0;0;0;0;0;0;18,72;6,239999999999999;1;7500;0;3
69;69;0,10805960339054543;112854657;0;0;0;0,6319280235307687;0;0;0;0,024453544033681295;0;0,05974145814967085;0;0;0;1213,73;63,880526315789474;4;250;35,89052631578947;19
162;162;0,21980462642826354;113058963;0;0;0;0;0;0;0,8936218165427089;0;0;0;0;0;0;221,85000000000002;55,462500000000006;2;15000;78,875;4
52;52;0,11030943254873952;113104883;0;0;0;0,9451957457641929;0;0;0;0;0;0;0;0;0;2631,730000000001;79,74939393939397;3;10000;124,39939393939395;33
270;270;0,16556596865024448;113549629;0;0,11662011954345289;0,027510654878871832;0;0,3044219145596169;0;0;0;0;0,4605965240671621;0,09085078695089621;0;0;2681,87;127,70809523809524;5;5000;1196,7533333333333;21
280;280;0,1127544225344438;113625146;0;0;0;0;0;0;0,009746992948983827;0;0;0,8099025300705103;0;0;0;964,3999999999997;41,930434782608685;4;2500;518,3199999999999;23
147;147;0,2581910390226113;113770933;0;0;0;0;0;0;0;0;0;0;0;0,5152324311202814;0;411,95000000000016;37,45000000000002;2;15000;3,630909090909091;11
159;159;0,1956754939912809;113788968;0;0;0;0,501783886079484;0;0;0;0;0;0,31901467440201053;0;0;0;1611,6499999999992;89,53611111111107;3;20000;899,7216666666668;18
205;205;0,19728619913327725;113991270;0;0;0,5074960947635097;0,31448657198311203;0,02172445506291423;0;0;0;0;0,008714718540952585;0,1137868058520065;0;0,005589341895662054;33685,54000000001;141,5358823529412;8;10000;1515,638025210083;238
130;130;0,11836394121893257;114279214;0;0;0;0,04304465772487172;0;0;0,031119948089987776;0;0;0;0;0,1261710372360524;0;3837,4100000000003;61,89370967741936;6;5000;1639,823870967742;62
305;305;0,3395866882120043;114557858;0;0;0;0;0;0;0;0;0;0,3686955035048727;0;0;0;116,97999999999999;19,496666666666666;2;50000;4,338333333333334;6
88;88;0,21252908793837436;114698650;0;0;0;0,6695987946370083;0;0;0;0,160860640822209;0;0;0;0,0627502074447178;0;2747,7199999999993;114,4883333333333;4;20000;1270,1283333333336;24
59;59;0,2924407507262242;114895301;0;0;0;0;0;0,2317032547142082;0;0;0,04824217038622794;0,04563185752456171;0;0,012252239950615898;0,6610805568848193;81143,53000000003;145,67958707360867;6;5000;2913,3998384201054;557
210;210;0,22728479483660713;114896048;0;0;0;0;0,017139025955474143;0;0,06918406578813246;0;0;0,5102458010247816;0;0,40254673464084567;0;69653,89999999998;139,58697394789576;5;15000;8826,392104208413;499
313;313;0,14736338524505677;115046627;0;0;0,4625892060660123;0;0;0;0;0;0;0,39390053523639595;0;0;0;717,4400000000003;55,18769230769233;3;1000;102,96461538461539;13
297;297;0,10815067771489535;115204864;0;0;0;0,07845065461163626;0;0;0;0;0;0,913530597467661;0;0;0;8175,839999999997;160,31058823529406;3;250;81,95294117647059;51
287;287;0,45590604334198986;115321341;0;0,6863419785629353;0;0;0;0;0;0;0;0,1832611280652592;0;0;0;6012,949999999998;109,3263636363636;3;50000;3692,1356363636364;55
1;1;0,17720424868188653;116041684;0;0;0;0,10680588511153574;0,8931941148884642;0;0;0;0;0;0;0;0;5714,76;150,38842105263157;2;7500;3120,8055263157894;38
284;284;0,09704945414704348;116227988;0;0;0,017777280387613236;0,03782020223298927;0;0;0;0;0,010520065304402785;0,9318864546029074;0;0;0;37975,999999999985;150,69841269841265;5;15000;8048,56281746032;252
193;193;0,1809663659109389;116609740;0;0;0;0;0,06757838550123818;0;0;0;0;0,38413940664771584;0;0,3431401243155759;0;7482,570000000003;110,03779411764711;4;7500;3477,2880882352943;68
73;73;0,13830361423503615;116858596;0;0;0;0;0,1615689683272668;0;0;0;0;0;0;0;0;184,07;15,339166666666666;2;15000;0;12
39;39;0,24986313210134023;116866974;0;0;0;0,203977376866169;0,592227489336177;0;0;0;0;0,0010486786856838178;0;0,0031278117501999467;0,15733668938283127;19205,12;133,36888888888888;7;5000;787,5355555555553;144
34;34;0,12056404127911186;116906711;0;0;0;0,9655557812503214;0;0;0,020957596521418688;0;0;0;0;0;0;53513,77000000001;170,97051118210865;3;1000;539,6050159744412;313
229;229;0,08413544553230592;117231340;0;0;0,013286839158833741;0;0;0;0,33892178666983946;0;0;0,643193820301846;0;0;0;16389,15;129,04842519685042;4;7500;811,9344094488191;127
69;69;0,21057052077788388;117238419;0,15786381842456607;0;0;0,7709746328437915;0;0;0;0;0;0;0;0;0;749,0000000000001;53,50000000000001;3;500;95,53142857142858;14
20;20;0,2136797727331692;117360307;0;0;0;0,14094623540592313;0,6805256399943993;0;0;0;0;0,17852812459967765;0;0;0;3356,67;119,88107142857143;3;1000;206,69071428571428;28
19;19;0,08570592664139762;117476941;0;0;0;0;0,9674156297556172;0;0;0;0;0;0;0;0;111,71;37,236666666666665;2;5000;54,16;3
4;4;0,4611917099444249;117640233;0,2621483313813062;0;0,23039670698696113;0;0,35984769328713273;0;0;0;0;0,14570950920692624;0;0;0;4115,38;124,70848484848486;5;50000;1952,5236363636361;33
162;162;0,17906895900948652;117645719;0;0;0;0;0;0;0,7802398977317053;0;0,027887470710326198;0;0;0;0;3512,3299999999995;130,08629629629627;3;7500;1671,4537037037037;27
226;226;0,19132983823658362;118240481;0;0;0,156792301042817;0;0;0;0;0;0;0,27398054274450234;0;0;0;2001,3099999999997;64,55838709677418;4;15000;678,0167741935485;31
316;316;0,09802643117133508;118367557;0;0;0;0;0;0;0;0;0;0,9912953265805068;0;0;0,005596498563966262;180511,08000000016;157,5140314136127;3;5000;3004,962966841184;1146
298;298;0,07564681680663993;118379554;0;0;0;0;0,035513848580760635;0;0;0;0;0,9565380064919965;0;0;0;988,9099999999999;109,87888888888887;3;5000;340,91999999999996;9
209;209;0,13262664031067456;118463824;0,30356335007784724;0;0,00543814811550777;0;0;0;0;0;0;0,6112170617784438;0;0;0;8510,25;111,97697368421052;5;2500;332,9340789473684;76
106;106;0,16310288014129737;118546628;0;0;0,02896661278553696;0,5908807289074465;0,2939898315884363;0;0;0;0;0,08616282671858048;0;0;0;6811,289999999999;154,80204545454544;4;10000;292,3195454545455;44
114;114;0,18968798136695633;118650256;0;0;0;0;0;0;0;0;0,7453006348811153;0;0;0;0;240,99;21,90818181818182;2;10000;0,62;11
76;76;0,1716583198499377;118935784;0;0;0;0;0;0,0029858641501968254;0;0;0;0;0;0;0,9970141358498033;14253,829999999996;139,743431372549;2;5000;490,3082352941176;102
305;305;0,11592386579719455;119059892;0;0;0;0;0;0;0;0;0;0;0;0,017405872306169294;0;919,23;61,282000000000004;2;50000;36,80733333333333;15
237;237;0,14627305789275397;119837828;0;0,17811773430420527;0,6921161111394881;0;0;0;0;0;0;0;0;0;0;10571,94;117,46600000000001;4;5000;439,1045555555555;90
193;193;0,2569115399875692;119877862;0;0;0;0;0,24490118161004237;0;0;0;0;0,4949340772125582;0;0,25465582427607747;0;1139,97;142,49625;4;7500;447,8925;8
9;9;0,279166783313188;119937133;0;0;0,10843333489188721;0;0,008256947253794233;0,04396544889400276;0;0,6726447371363407;0;0;0,1485932018591515;0;0,01810632996482412;14757,269999999997;136,64138888888886;6;20000;651,8744444444445;108
247;247;0,19622996903515336;120285133;0;0;0;0;0,1471891894225953;0;0;0;0,15443049726237976;0,6983803133150247;0;0;0;9263,52;149,4116129032258;3;5000;2788,988548387097;62
260;260;0,20933101326187353;120739986;0;0;0,2683412774452698;0;0,11581031946153753;0;0;0;0,1849220889072403;0,40389094451415297;0;0;0;2494,51;86,01758620689655;5;7500;107,69172413793103;29
182;182;0,14804016738123835;120960995;0;0;0,13257076417944666;0;0;0;0;0;0;0;0;0,8674292358205534;0;1221,31;244,262;2;5000;51,48599999999999;5
58;58;0,21250253672000535;121492310;0;0;0;0;0;0;0;0;0;0,17049710209540794;0;0,3315537226928222;0,4556509139545252;897,1999999999999;128,17142857142855;4;5000;3,6142857142857143;7
152;152;0,26504580571998865;121553751;0;0;0;0,0016542767644369834;0,2518408746871299;0;0;0;0,5965183375548927;0,14970174307939033;0;0;0;26688,40000000001;134,1125628140704;5;5000;2617,737939698494;199
44;44;0,25349116034474695;121764745;0;0;0,0861718966581115;0;0;0;0;0,5508929290038723;0;0,04721300626883558;0;0;0;2236,4599999999996;60,444864864864854;5;15000;794,7891891891892;37
159;159;0,14951143644194195;122133817;0;0;0;0,411851443241007;0;0;0;0;0,14709283206212143;0,4410557246968717;0;0;0;942,67;117,83375;3;15000;255,60500000000002;8
129;129;0,17567374228262161;122373673;0;0;0;0;0;0;0;0;0;0;0;0,3006809170832615;0;232,04;23,204;2;250;6,976999999999999;10
19;19;0,04915851939390831;122771284;0;0;0;0;0,9252942391079912;0;0;0;0;0;0;0;0;968,5999999999997;74,50769230769228;2;7500;630,586923076923;13
144;144;0,28133766198021404;122773363;0;0;0;0,22465305183868545;0,023492725430849647;0;0,6903612735623326;0;0,05736686077947586;0;0;0;0;32180,599999999995;150,37663551401866;5;250;130,65813084112142;214
61;61;0,21407154287608574;123393723;0;0;0;0;0;0;0;0,08652499747952819;0;0,3813245531871259;0;0;0,5281133859027641;11604,97;131,8746590909091;5;2500;1262,9226136363643;88
149;149;0,26084252832763066;123416167;0;0;0;0,2958317502609064;0,21854094426462878;0;0;0;0,4347839887653959;0,028965656546224915;0;0;0;20792,899999999998;118,81657142857142;5;7500;4314,678285714287;175
8;8;0,2146460713155072;123579760;0;0;0,006406334266028529;0;0;0;0;0,8806103792772373;0;0;0;0;0,10879905618017377;49619,64000000003;154,0982608695653;4;500;250,9319875776397;322
2;2;0,17597297539442114;123648720;0;0;0;0;0,7774742525179584;0;0;0;0;0,040050491459238016;0,017678464140673953;0,1624348447858727;0;15495,690000000002;130,2158823529412;5;7500;3714,554705882352;119
190;190;0,24164415647132964;124148804;0,7126343132201028;0;0,060248642641476585;0;0;0;0;0;0;0;0,2239075858098292;0;0;14937,1;147,8920792079208;4;5000;2775,3242574257433;101
225;225;0,18449460067483145;124152341;0;0;0;0;0;0;0;0;0;0,3004246579144579;0;0;0;1441,1599999999996;72,05799999999998;2;15000;500,18050000000005;20
157;157;0,27658510828618527;124191315;0;0,015558299667980571;0;0;0;0;0;0;0;0,14096514613761638;0,17873031190199706;0,14736020019299656;0,0890237320292439;2445,6399999999994;71,9305882352941;7;15000;1119,984117647059;34
161;161;0,12650293329700615;124315421;0;0;0;0,6286888566149954;0,0037197308752482294;0;0;0;0;0,12750822490293134;0;0,06519655789047295;0;2024,34;106,54421052631578;5;5000;799,8268421052632;19
265;265;0,14609964734693737;124321135;0;0;0;0,15281391405614095;0;0;0;0;0;0,8333958670348981;0;0;0;4877,369999999999;95,63470588235292;4;15000;2516,0637254901962;51
115;115;0,14115326383961502;124587368;0;0;0;0;0;0;0;0;0,9919021704716035;0,0010653078404422142;0,007032521687954198;0;0;2684,6700000000005;103,25653846153848;3;5000;1326,8734615384617;26
187;187;0,20525059554614208;124643413;0;0,009225055864608164;0;0;0;0;0;0;0,19267032068484788;0,20693798232053928;0,01938460184804524;0,0875917613166602;0;6591,829999999997;85,60818181818178;7;5000;3171,240909090908;77
20;20;0,1360989327602742;124659427;0;0;0;0,09825741120929911;0,7571880547869123;0;0;0;0;0;0;0;0;2016,5399999999997;77,55923076923077;4;2500;880,7411538461539;26
221;221;0,18151137306690518;124857293;0;0;0,6781188374430778;0;0;0;0;0;0;0;0;0;0;3640,94;88,80341463414635;2;20000;1362,1617073170735;41
230;230;0,13878739513577681;124858654;0;0;0,0023889302195484116;0,0325528393154712;0;0;0;0;0;0,9290329952079444;0;0;0;42973,21;134,71225705329152;7;500;257,13959247648904;319
130;130;0,2125540532573016;125040180;0;0;0;0,08934317097525794;0;0;0;0;0;0,15057417064240536;0;0,13655969155664038;0,12382808165982466;1442,0800000000004;43,69939393939395;6;2500;67,76060606060607;33
279;279;0,22216917571295022;125103215;0;0;0,1262176746793749;0,03977854089284464;0;0;0;0;0;0,6661013385661226;0;0;0,15832457308384146;2140,3499999999995;101,92142857142855;5;250;41,20857142857143;21
285;285;0,21141720475364753;125128977;0,13280476887508524;0;0;0;0;0;0;0;0;0,7885457674311962;0;0,04988261363086671;0,028766850062851214;75455,95000000006;156,22349896480344;4;20000;12232,29378881989;483
20;20;0,1152728521228195;125152485;0;0;0;0;0,8517873832181582;0;0;0;0;0;0;0;0;2878,230000000001;102,79392857142861;3;5000;49,42249999999998;28
69;69;0,18515299581245956;125221039;0;0;0;0,575745056430865;0;0;0;0;0;0;0;0;0;2130,0400000000004;92,61043478260872;2;250;124,99391304347824;23
222;222;0,21448962706680977;125294368;0;0;0,5281550881227836;0,4196392665685124;0;0;0;0;0;0,052205645308703925;0;0;0;3008,87;97,06032258064516;3;20000;133,40806451612903;31
115;115;0,17455895464188365;125498455;0;0;0;0;0;0;0;0;0,8793224945890167;0;0;0;0;1192,0200000000004;42,57214285714287;3;2500;29,765714285714278;28
279;279;0,1428951734138958;125740544;0;0;0;0;0;0;0;0;0;0,6973382980668739;0;0,030229418735355465;0;5578,009999999996;84,51530303030296;5;10000;3418,5521212121216;66
152;152;0,3082148083533928;125744441;0;0,03871246099564219;0;0;0,33561251123633357;0;0;0;0,5925746032524462;0,021785052272752195;0;0;0;19167,72999999998;136,91235714285702;6;5000;2730,4914999999996;140
